eez_iso3,number_vessels_in_EEZ
KOR,2692
TWN,2580
GBR,1138
JPN,746
FRA,646
CHN,628
DNK,558
IRL,513
NOR,511
HRV,407
PRK,405
SWE,356
DEU,353
FSM,328
GRC,307
ESP,299
VNM,261
KIR,255
MUS,250
SLB,232
SJM,230
FLK,225
MHL,224
ARG,214
RUS,207
NLD,206
GGY,196
TUN,193
SYC,192
PNG,190
FJI,189
TUV,189
CAN,181
MLT,167
USA,166
PRT,158
ISL,156
ESH,147
MRT,145
MDG,141
NRU,141
GRL,138
URY,133
ZAF,131
PLW,126
SEN,121
FRO,105
BEL,102
ITA,102
POL,99
AGO,93
TUR,89
GIN,85
SGP,84
VUT,82
CPV,79
EST,76
LBY,72
PYF,72
CIV,71
COK,69
REU,66
ASM,65
MDV,63
IND,60
MNP,59
SLE,59
MEX,58
NAM,58
PER,58
GMB,57
LVA,55
TKL,53
JEY,52
MOZ,52
GEO,50
IDN,49
UMI,46
PHL,45
BRA,44
ECU,44
GNB,44
IOT,44
LBR,44
NZL,44
UKR,44
LTU,42
ATF,40
CHL,40
MAR,39
WSM,39
CYP,38
PAN,38
GHA,37
LKA,36
QAT,36
FIN,34
MYS,32
ALB,31
NCL,30
MNE,28
GAB,25
SAU,24
CPT,23
BHS,22
GUM,21
ROU,21
TZA,21
COD,20
ARE,19
SPM,19
STP,19
BEN,18
DZA,18
TON,18
TGO,17
AUS,16
SYR,16
CRI,15
SGS,15
GNQ,14
KEN,13
THA,11
TTO,11
OMN,10
SUR,10
TAA,10
WLF,10
IRN,9
NIU,9
BRB,8
CMR,8
COG,8
GUY,8
NFK,8
EGY,7
GIB,7
GUF,7
MYT,7
CCK,6
COL,6
BES,5
COM,5
HMD,5
SOM,5
VEN,5
DOM,4
GRD,4
HND,4
NGA,4
VCT,4
ASC,3
CUW,3
GTM,3
ISR,3
LBN,3
SHN,3
VGB,3
BHR,2
BMU,2
BRN,2
BVT,2
ERI,2
PCN,2
VIR,2
ATG,1
CXR,1
DJI,1
JAM,1
KWT,1
MAF,1
MMR,1
MTQ,1
NIC,1
PAK,1
PRI,1
SDN,1
SLV,1
SVN,1
