eez_id,fao_region,eez_ter_iso3
8478,47,AGO
8478,34,AGO
5670,37,ALB
8360,51,ARE
48947,51,ARE
8383,48,ARG
8389,41,ARG
8466,41,ARG
8466,87,ARG
48961,41,ARG
8379,47,ASC
8444,77,ASM
8339,51,ATF
8340,51,ATF
8341,51,ATF
8385,51,ATF
8385,58,ATF
8386,51,ATF
8387,58,ATF
8414,31,ATG
8323,81,AUS
8323,71,AUS
8323,57,AUS
8393,34,BEN
26520,31,BES
26526,31,BES
8481,57,BGD
8358,51,BHR
8404,31,BHS
48952,31,BLM
8402,31,BMU
8381,41,BRA
8464,41,BRA
8464,34,BRA
8464,31,BRA
8418,31,BRB
48969,31,BRB
26521,71,BRN
8399,48,BVT
8493,21,CAN
8493,67,CAN
8308,57,CCK
8465,41,CHL
8465,87,CHL
22756,87,CHL
8486,61,CHN
48954,61,CHN
49003,71,CHN
8473,34,CIV
8475,34,CMR
8477,47,COD
8477,34,COD
8394,34,COG
8446,77,COK
8446,81,COK
8426,87,COL
8426,31,COL
8426,77,COL
8334,51,COM
48944,51,COM
8401,77,CPT
8362,34,CPV
8424,77,CRI
8424,87,CRI
8309,57,CXR
8376,37,CYP
5669,27,DEU
8352,51,DJI
5674,27,DNK
8409,31,DOM
8378,37,DZA
8403,87,ECU
8403,77,ECU
8403,51,ECU
8431,87,ECU
48962,87,ECU
8490,37,EGY
8490,51,EGY
8351,51,ERI
8368,34,ESH
5693,34,ESP
5693,27,ESP
5693,37,ESP
8364,34,ESP
8365,37,ESP
5675,27,EST
5676,27,FIN
8325,71,FJI
8325,81,FJI
8389,41,FLK
5677,27,FRA
8435,27,FRO
48967,27,FRO
48973,27,FRO
8316,71,FSM
8476,34,GAB
8476,47,GAB
5696,27,GBR
48967,27,GBR
5678,37,GEO
21788,27,GGY
8400,34,GHA
8365,37,GIB
8472,34,GIN
33177,31,GLP
8370,34,GMB
8471,34,GNB
48964,34,GNB
8398,34,GNQ
5679,37,GRC
8419,31,GRD
8438,27,GRL
8438,21,GRL
8430,77,GTM
8462,31,GUF
8462,41,GUF
48957,71,GUM
8460,31,GUY
33185,31,GUY
48969,31,GUY
8388,58,HMD
8427,31,HND
5673,37,HRV
8492,71,IDN
8492,57,IDN
8333,57,IND
8480,51,IND
8480,57,IND
8344,51,IOT
5681,27,IRL
8469,51,IRN
48947,51,IRN
5680,27,ISL
48973,27,ISL
8375,37,ISR
5682,37,ITA
21789,27,JEY
8487,61,JPN
8487,71,JPN
21796,61,JPN
48950,61,JPN
48954,61,JPN
48955,61,JPN
8349,51,KEN
33176,51,KEN
8441,77,KIR
8450,77,KIR
8450,71,KIR
8488,71,KIR
8327,61,KOR
21796,61,KOR
48955,61,KOR
8357,51,KWT
8374,37,LBN
8391,34,LBR
8372,37,LBY
8416,31,LCA
8346,57,LKA
5684,27,LTU
8495,31,MAF
8367,37,MAR
8367,34,MAR
8368,34,MAR
21790,37,MCO
8348,51,MDG
8345,57,MDV
8345,51,MDV
8429,77,MEX
8429,31,MEX
8318,71,MHL
5685,37,MLT
8482,57,MMR
5691,37,MNE
48980,71,MNP
48980,61,MNP
8347,51,MOZ
8369,34,MRT
33178,31,MTQ
8343,51,MUS
8344,51,MUS
48946,51,MUS
8483,71,MYS
8483,57,MYS
48944,51,MYT
8395,47,NAM
8312,71,NCL
8312,81,NCL
48948,71,NCL
8310,81,NFK
8474,34,NGA
21797,34,NGA
8425,31,NIC
8447,77,NIU
5668,27,NLD
5686,27,NOR
8317,71,NRU
8455,81,NZL
8354,51,OMN
8423,77,PAN
8423,31,PAN
8439,81,PCN
8432,87,PER
48962,87,PER
8322,71,PHL
8322,61,PHL
8315,71,PLW
8324,71,PNG
5687,27,POL
33179,31,PRI
8328,61,PRK
5688,27,PRT
5688,34,PRT
8363,34,PRT
8440,77,PYF
8440,81,PYF
8468,51,QAT
8338,51,REU
48946,51,REU
5690,27,RUS
5690,61,RUS
5690,37,RUS
48950,61,RUS
8356,51,SAU
8371,34,SEN
48964,34,SEN
8485,71,SGP
8383,48,SGS
8380,47,SHN
8437,27,SJM
33181,27,SJM
8314,71,SLB
8390,34,SLE
8428,77,SLV
8350,51,SOM
33176,51,SOM
8494,21,SPM
8397,34,STP
21797,34,STP
8461,31,SUR
5694,27,SWE
21803,31,SXM
8337,51,SYC
8373,37,SYR
8382,47,TAA
8405,31,TCA
8392,34,TGO
8332,71,THA
8332,57,THA
8449,77,TKL
8449,71,TKL
8758,57,TLS
8448,71,TON
8448,77,TON
8448,81,TON
8420,31,TTO
33185,31,TTO
8366,37,TUN
5697,37,TUR
8326,71,TUV
8321,61,TWN
8321,71,TWN
48954,61,TWN
8479,51,TZA
5695,37,UKR
8319,61,UMI
8319,71,UMI
8442,77,UMI
8443,77,UMI
8451,71,UMI
8451,77,UMI
8452,77,UMI
8467,41,URY
48961,41,URY
8453,77,USA
8453,61,USA
8456,67,USA
8456,21,USA
8456,31,USA
8456,77,USA
8463,67,USA
8463,61,USA
8463,18,USA
8421,31,VCT
8433,31,VEN
33185,31,VEN
8411,31,VGB
8484,61,VNM
8484,71,VNM
8313,71,VUT
48948,71,VUT
8454,71,WLF
8445,77,WSM
8353,51,YEM
8396,47,ZAF
8396,51,ZAF
